DATE_HOUR,STATION,VALUE(m3/d),VALUE(ft3/d),QUANTILE
2016-01-02 08:00:00,PUENTE DEL DIABLO,5.72,201.9998936469147,q25
2016-01-03 08:00:00,PUENTE DEL DIABLO,20.55,725.7164011265904,q70
2016-01-04 08:00:00,PUENTE DEL DIABLO,5.909,208.67436565727604,q25
2016-01-05 08:00:00,PUENTE DEL DIABLO,6.295,222.30582701177065,q25
2016-01-06 08:00:00,PUENTE DEL DIABLO,7.45,263.09426707509,q50
2016-01-07 08:00:00,PUENTE DEL DIABLO,7.05,248.96840038649452,q50
2016-01-08 00:40:00,PUENTE DEL DIABLO,6.99,246.8495203832052,q50
2016-01-09 08:00:00,PUENTE DEL DIABLO,7.1,250.73413372256894,q50
2016-01-10 08:00:00,PUENTE DEL DIABLO,6.6,233.07680036182464,q25
2016-01-11 08:00:00,PUENTE DEL DIABLO,6.4,226.01386701752696,q25
2016-01-12 08:00:00,PUENTE DEL DIABLO,6.533,230.71071769148494,q25
2016-01-13 08:00:00,PUENTE DEL DIABLO,5.801,204.86038165135528,q25
2016-01-14 08:00:00,PUENTE DEL DIABLO,5.81,205.17821365184867,q25
2016-01-15 08:00:00,PUENTE DEL DIABLO,5.801,204.86038165135528,q25
2016-01-17 08:00:00,PUENTE DEL DIABLO,5.58,197.05584030590632,q25
2016-01-18 08:00:00,PUENTE DEL DIABLO,5.67,200.23416031084028,q25
2016-01-19 08:00:00,PUENTE DEL DIABLO,5.713,201.7526909798643,q25
2016-01-20 08:00:00,PUENTE DEL DIABLO,5.79,204.47192031741892,q25
2016-01-21 08:00:00,PUENTE DEL DIABLO,5.721,202.0352083136362,q25
2016-01-22 08:00:00,PUENTE DEL DIABLO,5.691,200.97576831199154,q25
2016-01-23 08:00:00,PUENTE DEL DIABLO,5.692,201.01108297871303,q25
2016-01-24 08:00:00,PUENTE DEL DIABLO,5.682,200.65793631149816,q25
2016-01-25 08:00:00,PUENTE DEL DIABLO,5.796,204.68380831774786,q25
